restaurant,items,price,date
Lassi Corner,Kesar Pista Kulfi,40.0,2019-04-17
Chakh Le India (Brookefields Lake),Chicken Paratha,50.0,2019-04-17
Chakh Le India (Brookefields Lake),Egg Paratha,45.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Masala Vada Pav,45.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Masala Cheese Vada Pav,60.0,2019-04-17
McDonald's (HSR Layout),McSpicy Paneer,293.0,2019-04-17
McDonald's (HSR Layout),Veg Maharaja Mac,316.0,2019-04-17
Parotta Kadai,Plain Dosai,50.0,2019-04-17
Parotta Kadai,Masala Dosai,65.0,2019-04-17
Sitara Veg.,Pepper Mushroom Dry,155.0,2019-04-17
Sitara Veg.,Paneer Pepper Dry,165.0,2019-04-17
McDonald's (BTM Layout),McAloo Tikki,180.0,2019-04-17
Lassi Corner,Death by Chocolate Sundae,139.0,2019-04-17
Lassi Corner,Sweet Lassi,38.0,2019-04-17
Chakh Le India (Brookefields Lake),Extra Curd,10.0,2019-04-17
Chakh Le India (Brookefields Lake),Gobi,35.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Maharaja Vada Pav,45.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Maharaja Cheese Vada Pav,60.0,2019-04-17
McDonald's (HSR Layout),McNuggets,292.0,2019-04-17
McDonald's (HSR Layout),Big Spicy Chicken Wrap McSaver,262.0,2019-04-17
Parotta Kadai,Onion Dosai,60.0,2019-04-17
Parotta Kadai,Podi Dosai,60.0,2019-04-17
Sitara Veg.,Mushroom Kebab,140.0,2019-04-17
Sitara Veg.,French Fries,110.0,2019-04-17
McDonald's (BTM Layout),McVeggie,233.0,2019-04-17
McDonald's (BTM Layout),McSpicy Chicken,288.0,2019-04-17
Lassi Corner,Corn & Cheese Sandwich,67.0,2019-04-17
Lassi Corner,Snickers Milkshake,48.0,2019-04-17
Chakh Le India (Brookefields Lake),Kerala Paratha,20.0,2019-04-17
Chakh Le India (Brookefields Lake),Laccha Paratha,20.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Schezwan Vada Pav,45.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Schezwan Cheese Vada Pav,60.0,2019-04-17
McDonald's (HSR Layout),Chicken Maharaja Mac McSaver,262.0,2019-04-17
McDonald's (HSR Layout),Veg Maharaja Mac McSaver,253.0,2019-04-17
Parotta Kadai,Rava Dosai,60.0,2019-04-17
Parotta Kadai,Set Dosai,60.0,2019-04-17
Sitara Veg.,Chilli Idli,110.0,2019-04-17
Sitara Veg.,Chilli Manchurian,110.0,2019-04-17
McDonald's (BTM Layout),McChicken,246.0,2019-04-17
McDonald's (BTM Layout),New Chicken Maharaja Mac,325.0,2019-04-17
Lassi Corner,Kesar Badam Kulfi,40.0,2019-04-17
Lassi Corner,Bread Omelette Jumbo Sandwich,79.0,2019-04-17
Chakh Le India (Brookefields Lake),Methi Paratha,35.0,2019-04-17
Chakh Le India (Brookefields Lake),Mix Veg,40.0,2019-04-17
Goli Vada Pav No.1 (Kundanahalli),Mixed Vegetable Vada Pav,48.0,2019-04-17
