restaurant,items,price,date
Chinese Corner,Veg. Clear Soup,100.0,2019-04-17
Nukkadwala (Sector 25),Idli Sambar,89.0,2019-04-17
Nukkadwala (Sector 25),Medu Vada Sambar,134.0,2019-04-17
Pizza Hut (DT Mega Mall),Tandoori Paneer,515.0,2019-04-17
Pizza Hut (DT Mega Mall),Veggie Lover,515.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Hot and Sour Soup,125.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Manchow Soup,125.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Breakup Party Eclair Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Almond Donut,69.0,2019-04-17
Chinese Corner,Veg. Hot & Sour Soup,100.0,2019-04-17
Chinese Corner,Veg. Manchow Soup,100.0,2019-04-17
Nukkadwala (Sector 25),Parsi Anda Bhurji,89.0,2019-04-17
Nukkadwala (Sector 25),Bun Anda,79.0,2019-04-17
Pizza Hut (DT Mega Mall),Country Feast,515.0,2019-04-17
Pizza Hut (DT Mega Mall),Veg Exotica,545.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Sweet Corn Soup,125.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Bento Box Noodles,300.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Crumble Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Overdose Donut,69.0,2019-04-17
Chinese Corner,Veg. Mushroom Soup,100.0,2019-04-17
Chinese Corner,Veg. Lemon & Coriander Soup,100.0,2019-04-17
Nukkadwala (Sector 25),Tikki Chhole Chaat,99.0,2019-04-17
Nukkadwala (Sector 25),Samosa Chhole chaat,89.0,2019-04-17
Pizza Hut (DT Mega Mall),Margherita,275.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Paneer,329.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Bento Box Rice,300.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Chinese Meal Deal,0.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Pop Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Cookie Cart Wheel Donut,69.0,2019-04-17
Chinese Corner,Veg. Lung Fung Soup,110.0,2019-04-17
Chinese Corner,Veg. Thukpa,130.0,2019-04-17
Nukkadwala (Sector 25),Aloo Tikki chaat,89.0,2019-04-17
Nukkadwala (Sector 25),Nukkad Samosa,29.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Spice,279.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Veggie,279.0,2019-04-17
Speedy Chow (DLF City Phase 4),Non Veg Main Course Deal,0.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Bento Box Noodles,260.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Death By Choco Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Rainbow Pop Donut,69.0,2019-04-17
Chinese Corner,Non-Veg. Sweet Corn Soup,120.0,2019-04-17
Chinese Corner,Non-Veg. Talumein Soup,130.0,2019-04-17
Nukkadwala (Sector 25),Samosa Pav,59.0,2019-04-17
Nukkadwala (Sector 25),Aloo Chips,59.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Pepperoni,515.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Sausage n Tikka,545.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Bento Box Rice,260.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Main Course Deal,0.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Very Very Strawberry Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Litchi Lychee Donut,69.0,2019-04-17
Chinese Corner,Non-Veg. Clear Soup,120.0,2019-04-17
Chinese Corner,Non-Veg. Hot & Sour Soup,120.0,2019-04-17
Nukkadwala (Sector 25),Amchi vada pav,54.0,2019-04-17
Nukkadwala (Sector 25),Chicken Pakoda,149.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Supreme,625.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Italiano,625.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Lunch Box,330.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Lunch Box,280.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Mango Tango Donut,69.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Alive by Choco-Mini Donut,39.0,2019-04-17
Chinese Corner,Non-Veg. Manchow Soup,120.0,2019-04-17
Chinese Corner,Non-Veg. Mushroom Soup,120.0,2019-04-17
Nukkadwala (Sector 25),Keema Samosa,79.0,2019-04-17
Nukkadwala (Sector 25),Tawa Pulao Veg.,159.0,2019-04-17
Pizza Hut (DT Mega Mall),Triple Chicken Feast,625.0,2019-04-17
Pizza Hut (DT Mega Mall),Big Pizza Spicy Chicken,359.0,2019-04-17
Burger King (Sohna Road),Chicken Fries,80.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Starter Platter,290.0,2019-04-17
Speedy Chow (DLF City Phase 4),Chicken Starter Platter,330.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Frosted-Mini Donut,25.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Tella-Mini Donut,39.0,2019-04-17
Chinese Corner,Non-Veg. Lemon & Coriander Soup,120.0,2019-04-17
Chinese Corner,Non-Veg. Lung Fung Soup,120.0,2019-04-17
Nukkadwala (Sector 25),Tawa Soya Chaap Kulcha,159.0,2019-04-17
Nukkadwala (Sector 25),Amritsari Kulche with Chole,179.0,2019-04-17
Pizza Hut (DT Mega Mall),Veggie Supreme,545.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Tikka,545.0,2019-04-17
Taco Bell (DLF Cyber Hub),Naked Chicken Taco,149.0,2019-04-17
Burger King (Sohna Road),Veg Whopper®,139.0,2019-04-17
Burger King (Sohna Road),Veg Masala Whopper®,199.0,2019-04-17
Pizza Hut (Super Mart-1),Soya Masala,195.0,2019-04-17
Pind Balluchi (Sohna Road),Dal Makhani,275.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Chinese Meal Deal,0.0,2019-04-17
Speedy Chow (DLF City Phase 4),Non Veg Fragrant Thai Green Curry [Half],315.0,2019-04-17
Pizza Hut (Baani Square),Soya Masala,195.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Death by Choco-Mini Donut,39.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Mango Dazzle - Mini Donut,39.0,2019-04-17
Chinese Corner,Non-Veg. Thukpa Soup,160.0,2019-04-17
Chinese Corner,Non-Veg. Mongolian Soup,200.0,2019-04-17
Nukkadwala (Sector 25),Bombay  Pav bhaji,109.0,2019-04-17
Nukkadwala (Sector 25),Mattra Kulcha,99.0,2019-04-17
Pizza Hut (DT Mega Mall),Chicken Sausage,395.0,2019-04-17
Pizza Hut (DT Mega Mall),Soya Masala,510.0,2019-04-17
Taco Bell (DLF Cyber Hub),Naked Crispy Chicken Taco Meal For 1,255.0,2019-04-17
Taco Bell (DLF Cyber Hub),Naked Crispy Chicken Taco Meal For 2,425.0,2019-04-17
Burger King  (MG Road),Veg Whopper®,139.0,2019-04-17
Burger King (Sohna Road),Mutton Masala Whopper®,279.0,2019-04-17
Burger King (Sohna Road),Chicken Masala Whopper®,209.0,2019-04-17
Pizza Hut (Super Mart-1),Veg. Exotica,325.0,2019-04-17
Pizza Hut (Super Mart-1),Veggie Italiano,325.0,2019-04-17
Pind Balluchi (Sohna Road),Kadhai Paneer,325.0,2019-04-17
Pind Balluchi (Sohna Road),Dahi Ke Kebab,299.0,2019-04-17
Behrouz Biryani (Golf Course Road),Lazeez Bhuna Murgh Biryani (Boneless) (Regular),323.0,2019-04-17
Speedy Chow (DLF City Phase 4),Non Veg Mr Chows Garlic Sauce [Half],295.0,2019-04-17
Speedy Chow (DLF City Phase 4),Non Veg Mr Chows Manchurian Sauce [Half],295.0,2019-04-17
Pizza Hut (Baani Square),Veg. Exotica,325.0,2019-04-17
Pizza Hut (Baani Square),Veggie Italiano,325.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choc-o-Choc Donut,99.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Berry Bomb Donut,99.0,2019-04-17
Chinese Corner,Veg. Steamed Momos,70.0,2019-04-17
Chinese Corner,Veg. Fried Momos,90.0,2019-04-17
Nukkadwala (Sector 25),Tawa Pulao Non- Veg.,179.0,2019-04-17
Nukkadwala (Sector 25),Tawa Chicken with Kulcha,179.0,2019-04-17
Pizza Hut (DT Mega Mall),Spiced Paneer,510.0,2019-04-17
Pizza Hut (DT Mega Mall),Farmers Pick,610.0,2019-04-17
Burger King  (MG Road),Chicken Whopper®,149.0,2019-04-17
Burger King  (MG Road),Paneer King Melt,129.0,2019-04-17
KFC (DT Mega Mall),Large Popcorn,190.0,2019-04-17
Burger King (Sohna Road),Veg Masala Whopper® Combo,298.0,2019-04-17
Burger King (Sohna Road),Chicken Masala Whopper® Combo,308.0,2019-04-17
Pizza Hut (Super Mart-1),Paneer Soya Supreme,325.0,2019-04-17
Pizza Hut (Super Mart-1),Margherita,125.0,2019-04-17
Pind Balluchi (Sohna Road),Pindi Chhole,275.0,2019-04-17
Pind Balluchi (Sohna Road),Murgh Makhani,449.0,2019-04-17
Behrouz Biryani (Golf Course Road),Shahi Subz Dastarkhwan (Veg),361.0,2019-04-17
Behrouz Biryani (Golf Course Road),Shahi Murg Dastarkhwan (Non-Veg),428.0,2019-04-17
Speedy Chow (DLF City Phase 4),Non Veg Schezwan Style Sauce [Half],295.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Mr Chows Garlic Sauce [Half],265.0,2019-04-17
Pizza Hut (Baani Square),Paneer Soya Supreme,325.0,2019-04-17
Pizza Hut (Baani Square),Margherita,125.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco Villa Donut,99.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Choco-Crisp Donut,99.0,2019-04-17
Chinese Corner,Veg. Chilli Momos,180.0,2019-04-17
Chinese Corner,Chicken Steamed Momos,90.0,2019-04-17
Nukkadwala (Sector 25),Keema Kulcha,189.0,2019-04-17
Nukkadwala (Sector 25),Keema Pav,189.0,2019-04-17
Pizza Hut (DT Mega Mall),Paneer Soya Supreme,640.0,2019-04-17
Pizza Hut (DT Mega Mall),Veggie Italiano,640.0,2019-04-17
Burger King  (MG Road),Chicken Tandoor Grill,149.0,2019-04-17
Burger King  (MG Road),Veg Masala Whopper®,199.0,2019-04-17
KFC (DT Mega Mall),4pc Hot Wings*,123.0,2019-04-17
KFC (DT Mega Mall),2 Pc Hot & Crispy*,190.0,2019-04-17
Burger King (Sohna Road),Mutton Masala Whopper® Combo,378.0,2019-04-17
Burger King (Sohna Road),Veg Chilli Cheese Melt - Combo,208.0,2019-04-17
Pizza Hut (Super Mart-1),Veggie Feast,195.0,2019-04-17
Pizza Hut (Super Mart-1),Double Cheese,195.0,2019-04-17
Pind Balluchi (Sohna Road),Murgh Rara,449.0,2019-04-17
Pind Balluchi (Sohna Road),Dal Tadka,255.0,2019-04-17
Behrouz Biryani (Golf Course Road),Shahi Gosht Dastarkhwan (Non Veg),514.0,2019-04-17
Behrouz Biryani (Golf Course Road),Soya Chaap Biryani (Regular),323.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Mr Chows Manchurian Sauce [Half],265.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Schezwan Style Sauce [Half],265.0,2019-04-17
Pizza Hut (Baani Square),Veggie Feast,195.0,2019-04-17
Pizza Hut (Baani Square),Double Cheese,195.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Chocoholic Donut,99.0,2019-04-17
Dunkin' Donuts (DLF Cyber Hub),Chocotella Donut,99.0,2019-04-17
Chinese Corner,Chicken Fried Momos,110.0,2019-04-17
Chinese Corner,Chilli Chicken Momos,200.0,2019-04-17
Nukkadwala (Sector 25),Kolkata Veg. Cutlet,89.0,2019-04-17
Nukkadwala (Sector 25),Nukkadwala Chicken Cutlet,129.0,2019-04-17
Pizza Hut (DT Mega Mall),Lebanese Chicken,610.0,2019-04-17
Pizza Hut (DT Mega Mall),Spiced Chicken Meatballs,610.0,2019-04-17
Burger King  (MG Road),Mutton Masala Whopper®,279.0,2019-04-17
Burger King  (MG Road),Chicken Masala Whopper®,209.0,2019-04-17
KFC (DT Mega Mall),4 Pc Hot & Crispy*,361.0,2019-04-17
KFC (DT Mega Mall),Mingles Bucket*,284.0,2019-04-17
Burger King (Sohna Road),Paneer King Melt - Combo,228.0,2019-04-17
Burger King (Sohna Road),Chicken Chilli Cheese Melt Combo,218.0,2019-04-17
Pizza Hut (Super Mart-1),Tandoori Paneer,265.0,2019-04-17
Pizza Hut (Super Mart-1),Veggie Lover,265.0,2019-04-17
Pind Balluchi (Sohna Road),Malai Kofta,325.0,2019-04-17
Pind Balluchi (Sohna Road),Subz Biryani,295.0,2019-04-17
Speedy Chow (DLF City Phase 4),Non Veg Fragrant Thai Red Curry [Half],315.0,2019-04-17
Speedy Chow (DLF City Phase 4),Veg Fragrant Thai Red Curry [Half],285.0,2019-04-17
