price,area,psf,kind,address,society,bhk,config,avail,date
39500000,1940,20360,"Super built-up  Area
                    ",in 4 Bunglows,HDIL Metropolis Residences,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
10500000,625,16800,"Super built-up  Area
                    ",in Dina Bama Estate,HDIL Dreams,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
18200000,1140,16000,"Carpet  Area
                    ",in Thane West,One Indiabulls,3 BHK ,,Possession in Aug  2023,2019-05-12
1680000,480,3500,"Built-up  Area
                    ",in Kalher,,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
15500000,1600,9688,"Super built-up  Area
                    ",in Sector 35I Kharghar,,3 BHK ,"4 Baths, 3+ Balconies",Ready To Move,2019-05-12
21000000,1075,19535,"Super built-up  Area
                    ",in Kandivali (East),,3 BHK ,"3 Baths, 2 Balconies",Possession in Jun  2019,2019-05-12
5700000,963,5919,"Super built-up  Area
                    ",in Nilje Gaon,Lodha Casa Rio Gold,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
20500000,875,23428,"Super built-up  Area
                    ",in Kandivali (West),Panchsheel Gardens,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
30800000,1866,16500,"Super built-up  Area
                    ",in Goregaon (West),Kalpataru Radiance,3 BHK ,3 Baths,Possession in Dec  2021,2019-05-12
10300000,1651,6257,"Super built-up  Area
                    ",in Ghodbunder Road,Prescon Hill View,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
19000000,1655,11481,"Super built-up  Area
                    ",in Manpada,Neelkanth Greens,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
7300000,748,9760,"Super built-up  Area
                    ",in Thane West,Kalpataru Launch Code Expansia,1 BHK ,1 Bath,Possession in Dec  2023,2019-05-12
5800000,1060,5471,"Super built-up  Area
                    ",in Sector 20 Ulwe,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
22500000,1755,12821,"Super built-up  Area
                    ",in Majiwada,Lodha Luxuria Priva,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
85000000,1500,56667,"Built-up  Area
                    ",in Breach Candy,,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
48000000,1450,33103,"Super built-up  Area
                    ",in Bandra (West),,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
15000000,1800,8334,"Super built-up  Area
                    ",in Pokhran-2,,3 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
7000000,1010,6930,"Built-up  Area
                    ",in Kalyan (West),,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
7711000,1377,5600,"Super built-up  Area
                    ",in Dombivli (East),Marathon Nextown,3 BHK ,3 Baths,Ready To Move,2019-05-12
8500000,500,17000,"Carpet  Area
                    ",in Bhandup (West),Gharkul Height,2 BHK ,2 Baths,New Launch,2019-05-12
28500000,1377,20698,"Super built-up  Area
                    ",in Jogeshwari (East),Oberoi Splendor,2 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
6500000,600,10834,"Super built-up  Area
                    ",in Vartak Nagar,Raunak Tulip,1 BHK ,2 Baths,Possession in Dec  2020,2019-05-12
86500000,2200,39318,"Carpet  Area
                    ",in Goregaon (East),Oberoi Exquisite,6 BHK ,6 Baths,Ready To Move,2019-05-12
17700000,1118,15831,"Super built-up  Area
                    ",in Ghatkopar West,Wadhwa The Address,2 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
38000000,4200,9048,"Super built-up  Area
                    ",in Manpada,Neelkanth Greens,5 BHK ,"5 Baths, 3+ Balconies",Ready To Move,2019-05-12
12000000,1027,11684,"Super built-up  Area
                    ",in Dahisar (East),Lodha Aqua,2 BHK ,2 Baths,Ready To Move,2019-05-12
8255000,910,None,"Carpet  Area
                    ",in Kalyan (East),Krishna Square,3 BHK ,,New Launch,2019-05-12
6400000,900,7112,"Super built-up  Area
                    ",in Mira Road East,,2 BHK ,2 Baths,Ready To Move,2019-05-12
20500000,1100,18636,"Carpet  Area
                    ",in Thane West,Shapoorji Northern Lights,3 BHK ,,New Launch,2019-05-12
10000000,415,23976,"Carpet  Area
                    ",in Chembur,Aayush Aangan,1 BHK ,2 Baths,Ready To Move,2019-05-12
15300000,729.7,20988,"Carpet  Area
                    ",in Malad (East),F Residences,2 BHK ,,Possession in Jul  2021,2019-05-12
28000000,1780,15731,"Super built-up  Area
                    ",in Powai,Evershine Sapphire,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
7600000,650,11693,"Super built-up  Area
                    ",in Malad (West),,1 BHK ,1 Bath,Ready To Move,2019-05-12
