price,area,psf,kind,address,society,bhk,config,avail,date
9800000,1251,7834,"Super built-up  Area
                    ",in Kharghar,Tharwani Riviera,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
42500000,2195,19363,"Super built-up  Area
                    ",in Goregaon (East),Oberoi Esquire,3 BHK ,"4 Baths, 1 Balcony",Ready To Move,2019-05-12
8800000,1185,7427,"Super built-up  Area
                    ",in Ulwe,Shital Tapovan Heights,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
12000000,1345,8922,"Super built-up  Area
                    ",in Kharghar,Paradise Sai World Empire,2 BHK ,"2 Baths, 2 Balconies",Possession in Dec  2022,2019-05-12
8900000,560,15893,"Super built-up  Area
                    ",in Tilak Nagar,,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
20099999,450,44666,"Carpet  Area
                    ",in Dadar (West),,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
5110000,700,7300,"Super built-up  Area
                    ",in Mira Road East,Heena Presidency,1 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
8500000,1000,8500,"Built-up  Area
                    ",in Sector 17 Ulwe,Proviso Heights,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
9500000,600,15834,"Super built-up  Area
                    ",in Sector 2 Charkop,Silver Presidency,1 BHK ,2 Baths,Ready To Move,2019-05-12
6002000,630.34,9522,"Carpet  Area
                    ",in Dombivli (East),Marathon Nextown,2 BHK ,2 Baths,Possession in Jun  2019,2019-05-12
6600000,1125,5867,"Super built-up  Area
                    ",in Roadpali,Vision Phoenix Heights,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
3245000,650,4992,"Carpet  Area
                    ",in Karanjade,Rupal Shreyas Apartment,1 BHK ,,Possession in Mar  2020,2019-05-12
20000000,1490,13422,"Super built-up  Area
                    ",in Lokhandwala Kandivali East,,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
5000000,650,7693,"Super built-up  Area
                    ",in Mira Road East,Parmeshwari Arunodaya Heights,1 BHK ,"1 Bath, 3 Balconies",Ready To Move,2019-05-12
7900000,1070,7384,"Super built-up  Area
                    ",in Khanda Colony,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
6206000,411.4,15085,"Carpet  Area
                    ",in Mira Bhayandar,Delta Woods,1 BHK ,,Possession in Sep  2022,2019-05-12
34000000,1650,20607,"Super built-up  Area
                    ",in Andheri (West),,3 BHK ,3 Baths,Ready To Move,2019-05-12
59500000,1450,41035,"Carpet  Area
                    ",in Chembur,Mahalaxmi Heritage,4 BHK ,"4 Baths, 3 Balconies",Ready To Move,2019-05-12
47 L ,408,None,"Carpet  Area
                    ",in Panvel,Bhaveshwar Belleza,1 BHK ,,Possession in Dec  2022,2019-05-12
11500000,1365,8425,"Super built-up  Area
                    ",in Mira Road East,RNA NG Silver Spring,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
7450000,650,11462,"Super built-up  Area
                    ",in Bhandup (West),Suyog Jeevan Anand,1 BHK ,2 Baths,Possession in Dec  2019,2019-05-12
200000,1000,200,"Plot  Area
                    ",in Panvel,,,Width of facing road,Immediate Possession,2019-05-12
19000000,1665,11412,"Super built-up  Area
                    ",in Dahisar (East),Lodha Aqua,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
22500000,2137,10529,"Super built-up  Area
                    ",in Thane West,Shapoorji Northern Lights,3 BHK ,"3 Baths, 3 Balconies",Possession in Dec  2022,2019-05-12
10500000,590,17797,"Built-up  Area
                    ",in Kandivali (East),,1 BHK ,2 Baths,Ready To Move,2019-05-12
8200000,1150,7131,"Super built-up  Area
                    ",in Sector 10 Kharghar,Shankar Residency,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
8000000,630,12698,"Carpet  Area
                    ",in Mira Road,MICL Aaradhya Highpark,2 BHK ,,New Launch,2019-05-12
8100000,500,16200,"Super built-up  Area
                    ",in Malad (West),Mansarowar CHS,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
4554000,676,6737,"Super built-up  Area
                    ",in Sector 35I Kharghar,,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
5500000,555,9910,"Built-up  Area
                    ",in Waghbil,Prescon Prestige Residency,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
14500000,1031,14065,"Super built-up  Area
                    ",in Goregaon (East),Omkar Ananta,2 BHK ,2 Baths,Ready To Move,2019-05-12
8500000,1055,8057,"Super built-up  Area
                    ",in Bevarly Park,,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
9200000,1050,8762,"Super built-up  Area
                    ",in Mira Road,Madhu Platina,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
12000000,1005,11941,"Super built-up  Area
                    ",in Vasant Vihar,,2 BHK ,2 Baths,Ready To Move,2019-05-12
21500000,1050,20477,"Built-up  Area
                    ",in Powai,K Raheja Hill Side,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
16399999,664.02,24698,"Carpet  Area
                    ",in Mulund (East),Romell Trimurti,2 BHK ,,Ready To Move,2019-05-12
17600000,1120,15670,"Super built-up  Area
                    ",in Alika Nagar,Lokhandwala Spring Grove,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
7200000,1020,7059,"Super built-up  Area
                    ",in Bevarly Park,Ostwal Orchid,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
9600000,1000,9600,"Built-up  Area
                    ",in Ghodbunder Road,Lalani Residency,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
5500000,918,5992,"Super built-up  Area
                    ",in Dombivli (East),Lodha Casa Bella Gold,2 BHK ,2 Baths,Ready To Move,2019-05-12
11500000,1700,6765,"Super built-up  Area
                    ",in Sector-35E Kharghar,Sadguru Prism,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
16000000,1675,9553,"Super built-up  Area
                    ",in Kharghar,Paradise Sai Solitaire,3 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
8000000,500,16000,"Super built-up  Area
                    ",in Malad (West),,1 BHK ,1 Bath,Ready To Move,2019-05-12
12200000,1150,10609,"Super built-up  Area
                    ",in Sector 20 Kharghar,Unique Twins Tower CHS,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
9500000,1150,8261,"Super built-up  Area
                    ",in Sector 35I Kharghar,BKS Galaxy,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
16399999,1106,14829,"Super built-up  Area
                    ",in Bhandup (West),DSS Mahavir Universe Phase 1,2 BHK ,2 Baths,Ready To Move,2019-05-12
4500000,940,4788,"Super built-up  Area
                    ",in Nalasopara East,,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
9600000,420,22858,"Carpet  Area
                    ",in Kandivali (East),,1 BHK ,2 Baths,Ready To Move,2019-05-12
5600000,864,6482,"Super built-up  Area
                    ",in Dombivli (East),Lodha Casa Bella Gold,2 BHK ,2 Baths,Ready To Move,2019-05-12
8295000,1185,7000,"Super built-up  Area
                    ",in Mira Bhayandar,Swagat Heights,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
47500000,2365,20085,"Super built-up  Area
                    ",in Powai,Lake Lucerne,4 BHK ,"5 Baths, 3 Balconies",Ready To Move,2019-05-12
3800000,594,6397,"Built-up  Area
                    ",in Dombivli (East),,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
4300000,685,6278,"Super built-up  Area
                    ",in Shilphata,Dosti Planet North,1 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
3600000,400,9000,"Super built-up  Area
                    ",in Mira Road East,Ravi Gaurav City,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
7500000,1065,7043,"Super built-up  Area
                    ",in Kharghar,,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
4805000,580,8284,"Built-up  Area
                    ",in Sai Nagar,Vihang Valley,1 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
4000000,745,5370,"Super built-up  Area
                    ",in Dombivli (East),Lodha Lakeshore Greens,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
12200000,1400,8714,"Super built-up  Area
                    ",in Mira Road East,SKD Pinnacolo,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
12300000,1335,9229,"Super built-up  Area
                    ",in Mira Road East,SKD Pinnacolo,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
8900000,1130,7877,"Super built-up  Area
                    ",in Sector-9 Ulwe,Shanti Hari Heights,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
18700000,1200,15583,"Super built-up  Area
                    ",in Bhandup (West),,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
10500000,590,17797,"Super built-up  Area
                    ",in Kandivali (East),Vasant Sarita,1 BHK ,1 Bath,Ready To Move,2019-05-12
6300000,550,11454,"Super built-up  Area
                    ",in Dhokali,Cosmos Nest,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
10500000,575,18261,"Super built-up  Area
                    ",in Kandivali (East),Sheth Vasant Utsav,1 BHK ,2 Baths,Ready To Move,2019-05-12
14500000,525,27620,"Super built-up  Area
                    ",in Mahalaxmi,,1 BHK ,2 Baths,Ready To Move,2019-05-12
6500000,723,8991,"Built-up  Area
                    ",in Ghodbunder Road,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
20000000,1072,18657,"Built-up  Area
                    ",in Thane West,Kalpataru Tarangan 2,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
3825000,594,6440,"Built-up  Area
                    ",in Dombivli (East),Casa Rio Arabiana,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
3760000,594,6330,"Built-up  Area
                    ",in Dombivli (East),,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
14000000,600,23334,"Super built-up  Area
                    ",in Chembur,Godrej Prime,1 BHK ,1 Bath,Ready To Move,2019-05-12
4100000,585,7009,"Super built-up  Area
                    ",in Dombivli (East),Lodha Casa Bella Gold,1 BHK ,1 Bath,Ready To Move,2019-05-12
48000000,2600,18462,"Super built-up  Area
                    ",in Goregaon (East),,4 BHK ,"4 Baths, 1 Balcony",Ready To Move,2019-05-12
3550000,650,5462,"Built-up  Area
                    ",in Kalyan (West),Sai Satyam Residency,1 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
5300000,650,8154,"Built-up  Area
                    ",in Ghodbunder Road,Aakruti Aangan,1 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
7000000,1050,6667,"Super built-up  Area
                    ",in Kharghar,,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
27500000,1200,22917,"Super built-up  Area
                    ",in Andheri (East),,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
5396000,405,13325,"Carpet  Area
                    ",in Thane West,Raunak Heights,1 BHK ,1 Bath,Possession in Dec  2019,2019-05-12
10000000,607,16475,"Super built-up  Area
                    ",in Thakur Village,Gundecha Greens,1 BHK ,1 Bath,Ready To Move,2019-05-12
7500000,750,10000,"Super built-up  Area
                    ",in Majiwada,,1 BHK ,1 Bath,Ready To Move,2019-05-12
14500000,1649,8794,"Super built-up  Area
                    ",in Panvel,Paradise Sai World City,3 BHK ,"3 Baths, 3 Balconies",Possession in Dec  2021,2019-05-12
9500000,1260,7510,"Super built-up  Area
                    ",in Panvel,Paradise Sai World City,2 BHK ,"2 Baths, 3 Balconies",Possession in Dec  2021,2019-05-12
8900000,1150,7740,"Super built-up  Area
                    ",in Sector 35I Kharghar,BKS Galaxy,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
9200000,1026,8967,"Super built-up  Area
                    ",in Ghodbunder Road,Lodha Splendora,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
50000000,1150,43479,"Super built-up  Area
                    ",in Juhu,,3 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
21500000,1000,21500,"Super built-up  Area
                    ",in Kandivali (West),,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
54000000,2125,25412,"Super built-up  Area
                    ",in Sector-4 Nerul,Wadhwa Palm Beach Residency,3 BHK ,"3 Baths, 2 Balconies",Ready To Move,2019-05-12
4850000,1105,4390,"Super built-up  Area
                    ",in Dombivli (East),Runwal My City,3 BHK ,"2 Baths, 3 Balconies",Possession in Dec  2022,2019-05-12
10000000,1027,9738,"Super built-up  Area
                    ",in Ghodbunder Road,Park View,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
14000000,1345,10409,"Super built-up  Area
                    ",in Ghodbunder Road,,3 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
15500000,1400,11072,"Super built-up  Area
                    ",in Manpada,Soham Gardens,3 BHK ,3 Baths,Ready To Move,2019-05-12
2100000,520,4038,"Super built-up  Area
                    ",in Badlapur (East),,1 BHK ,2 Baths,Possession in Sep  2022,2019-05-12
17000000,1160,14655,"Super built-up  Area
                    ",in Powai,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
9900000,1021,9697,"Super built-up  Area
                    ",in Sector 20 Kharghar,Maitri Ocean,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
7600000,890,8540,"Super built-up  Area
                    ",in Mira Road,ANA Avant Garde,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
5870000,718,8176,"Super built-up  Area
                    ",in Mira Bhayandar,Man Opus,1 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
5000000,750,6667,"Super built-up  Area
                    ",in Kharghar,,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
8600000,1050,8191,"Super built-up  Area
                    ",in Mira Bhayandar,,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
4600000,670,6866,"Built-up  Area
                    ",in Kharghar,Bella Vista,1 BHK ,"1 Bath, 2 Balconies",Ready To Move,2019-05-12
7800000,920,8479,"Built-up  Area
                    ",in Mira Bhayandar,,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
17000000,1100,15454,"Super built-up  Area
                    ",in Powai,Palazzio CHS,2 BHK ,2 Baths,Ready To Move,2019-05-12
8300000,975,8513,"Super built-up  Area
                    ",in Bevarly Park,RMP Vandana Heights,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
12000000,1005,11941,"Super built-up  Area
                    ",in Sector 20 Kharghar,Kasturi Heights,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
6800000,965,7046,"Super built-up  Area
                    ",in Bhayander (East),,2 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
52000000,3152,16500,"Super built-up  Area
                    ",in Goregaon (West),Kalpataru Radiance,4 BHK ,4 Baths,Possession in Dec  2021,2019-05-12
11200000,635,17637,"Built-up  Area
                    ",in Powai,,1 BHK ,2 Baths,Ready To Move,2019-05-12
8200000,995,8242,"Built-up  Area
                    ",in Sector 10 Kharghar,Shelter Residency,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
8665000,1044,8300,"Super built-up  Area
                    ",in Mira Road East,Ashish Group Samriddhi,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
31000000,1380,22463,"Super built-up  Area
                    ",in Malad (West),Atul Blue Orbit,3 BHK ,"3 Baths, 1 Balcony",Ready To Move,2019-05-12
11500000,950,12106,"Super built-up  Area
                    ",in Goregaon (East),,2 BHK ,2 Baths,Ready To Move,2019-05-12
1780000,460,3869,"Super built-up  Area
                    ",in Badlapur,,1 BHK ,"1 Bath, 1 Balcony",Ready To Move,2019-05-12
7365000,720,10230,"Super built-up  Area
                    ",in Kolshet Road,Lodha Amara,1 BHK ,2 Baths,Ready To Move,2019-05-12
12300000,1400,None,"Built-up  Area
                    ",in Mira Road East,SKD Pinnacolo,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
11299999,640,17656,"Built-up  Area
                    ",in Powai,,1 BHK ,2 Baths,Ready To Move,2019-05-12
8500000,999,8509,"Super built-up  Area
                    ",in Mira Road East,RNA NG Silver Spring,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
8500000,660,12879,"Super built-up  Area
                    ",in Kandivali (West),Ritej Jaydev Tower,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
9600000,1100,8728,"Super built-up  Area
                    ",in Kharghar,Haware Glory,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
110000000,3500,31429,"Super built-up  Area
                    ",in Prabhadevi,Suvidha Emerald,4 BHK ,"5 Baths, 2 Balconies",Ready To Move,2019-05-12
25500000,1366,18668,"Super built-up  Area
                    ",in Chembur,Kukreja Residency,3 BHK ,3 Baths,Ready To Move,2019-05-12
5115000,612,8359,"Carpet  Area
                    ",in Dombivli (East),Unity Dream Home,2 BHK ,"2 Baths, 3 Balconies",Possession in Dec  2021,2019-05-12
8900000,975,9129,"Built-up  Area
                    ",in Kharghar,,2 BHK ,"2 Baths, 3+ Balconies",Possession in Dec  2019,2019-05-12
32000000,1500,21334,"Built-up  Area
                    ",in Goregaon (West),Imperial Heights,3 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
11800000,1025,11512,"Super built-up  Area
                    ",in Hiranandani Estate,Bhoomi Acres,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
12500000,1100,11364,"Super built-up  Area
                    ",in Kharghar,Armstrongs Hex Blox,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
8300000,1445,5744,"Built-up  Area
                    ",in Sector 35I Kharghar,BKS Galaxy,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
9500000,1100,8636,"Super built-up  Area
                    ",in kavesar,Velocity Hill Spring,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
5500000,750,7334,"Super built-up  Area
                    ",in Sector 20 Kharghar,,1 BHK ,"1 Bath, 2 Balconies",Ready To Move,2019-05-12
8000000,525,15238,"Super built-up  Area
                    ",in Lokhandwala Kandivali East,Lokhandwala Green Meadows,1 BHK ,2 Baths,Ready To Move,2019-05-12
27500000,1115,24664,"Super built-up  Area
                    ",in Powai,Kanakia Codename Future,2 BHK ,2 Baths,Possession in May  2024,2019-05-12
8400000,1035,8116,"Super built-up  Area
                    ",in Kharghar,Fortune Heights,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
8000000,1110,7208,"Super built-up  Area
                    ",in Kharghar,Status Vihar,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
8800000,721,12205,"Super built-up  Area
                    ",in Thane West,,2 BHK ,"2 Baths, 2 Balconies",Possession in Dec  2019,2019-05-12
20000000,950,21052,"Super built-up  Area
                    ",in Vakola,Shamiks Elanza,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
14000000,1700,8235,"Super built-up  Area
                    ",in Sector 35I Kharghar,,4 BHK ,"4 Baths, 3+ Balconies",Ready To Move,2019-05-12
13000000,1000,13000,"Super built-up  Area
                    ",in Thane West,Kalpataru Launch Code Expansia,2 BHK ,2 Baths,Possession in Dec  2023,2019-05-12
6055000,320,18922,"Carpet  Area
                    ",in Kandivali (West),Ruparel Optima,1 BHK ,1 Bath,Possession in Dec  2021,2019-05-12
6200000,640,9687,"Super built-up  Area
                    ",in Kasar vadavali,Rosa Gardenia,1 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
16800000,1260,13334,"Super built-up  Area
                    ",in Thane West,Kalpataru Launch Code Expansia,3 BHK ,3 Baths,Possession in Dec  2023,2019-05-12
3165000,570,5552,"Built-up  Area
                    ",in Dombivli (West),,1 BHK ,"1 Bath, 2 Balconies",Ready To Move,2019-05-12
6800000,740,9190,"Built-up  Area
                    ",in Thane West,Ashar Codename Golden Mile,1 BHK ,"1 Bath, 1 Balcony",Possession in Dec  2021,2019-05-12
8500000,740,11487,"Super built-up  Area
                    ",in Patlipada,Shree Satya Shankar Residency,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
10000000,1000,10000,"Super built-up  Area
                    ",in Dhokali,,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
17800000,1685,10564,"Super built-up  Area
                    ",in Sector 10 Kharghar,Shelter Empire,3 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
9500000,715,13287,"Super built-up  Area
                    ",in Malad (West),Kamanwala Manavsthal,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
7665000,1050,7300,"Super built-up  Area
                    ",in Mira Road East,Heena Presidency,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
9000000,1040,8653,"Built-up  Area
                    ",in Sector 35I Kharghar,,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
27500000,1580,17406,"Super built-up  Area
                    ",in kurla (west),,3 BHK ,"3 Baths, 3 Balconies",Ready To Move,2019-05-12
16900000,1785,9468,"Super built-up  Area
                    ",in Kharghar,Paradise Sai World Empire,3 BHK ,"3 Baths, 3+ Balconies",Possession in Oct  2022,2019-05-12
10800000,1100,9819,"Super built-up  Area
                    ",in Kharghar,Paradise Sai Symphony,2 BHK ,"2 Baths, 2 Balconies",Possession in Dec  2022,2019-05-12
11299999,1160,9742,"Super built-up  Area
                    ",in Kharghar,Paradise Sai Symphony,2 BHK ,"2 Baths, 3 Balconies",Possession in Dec  2022,2019-05-12
12300000,1245,9844,"Super built-up  Area
                    ",in Kharghar,Paradise Sai World Empire,2 BHK ,"2 Baths, 2 Balconies",Possession in Oct  2022,2019-05-12
8500000,925,9190,"Super built-up  Area
                    ",in Brahmand,Swastik Palms CHS,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
3300000,650,5076,"Super built-up  Area
                    ",in Virar West,Ekta Parksville,1 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
15500000,935,16578,"Built-up  Area
                    ",in Lokhandwala Kandivali East,Lokhandwala Whispering Palms Xxclusives,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
32500000,1317,24678,"Super built-up  Area
                    ",in Parel,Crescent Bay,2 BHK ,"2 Baths, 2 Balconies",Possession in Sep  2018,2019-05-12
11500000,1000,11500,"Super built-up  Area
                    ",in Patlipada,Hiranandani Estate,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
8200000,890,9214,"Super built-up  Area
                    ",in Patlipada,Shree Satya Shankar Residency,2 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
5421000,690,7856,"Super built-up  Area
                    ",in Mira Road East,Vasudev Sky High,1 BHK ,"2 Baths, 3 Balconies",Possession in Jun  2020,2019-05-12
8300000,1010,8217,"Super built-up  Area
                    ",in Mira Road East,Vasudev Sky High,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
12500000,750,16666,"Built-up  Area
                    ",in Kandivali (East),Neighbourhood Society,2 BHK ,2 Baths,Ready To Move,2019-05-12
4000000,705,5674,"Built-up  Area
                    ",in Kalyan (West),,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
16500000,893,18478,"Super built-up  Area
                    ",in Powai,Powai Panch Ratna CHS,2 BHK ,2 Baths,Ready To Move,2019-05-12
12500000,625,20000,"Super built-up  Area
                    ",in Marol,Eco Residency,1 BHK ,2 Baths,Ready To Move,2019-05-12
4500000,650,6924,"Super built-up  Area
                    ",in Sector 19 Kamothe,,1 BHK ,"1 Bath, 2 Balconies",Ready To Move,2019-05-12
7250000,995,7287,"Super built-up  Area
                    ",in Mira Road,Neminath Heights,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
7800000,1050,7428,"Super built-up  Area
                    ",in Mira Road,Neminath Heights,2 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
10500000,1200,8750,"Super built-up  Area
                    ",in Poonam Gardens,,3 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
9328000,1060,8800,"Super built-up  Area
                    ",in Mira Road East,SKD Pinnacolo,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
2700000,324,8333,"Super built-up  Area
                    ",in Thane West,Haware Citi, 1 RK ,1 Bath,Ready To Move,2019-05-12
2680000,324,8271,"Super built-up  Area
                    ",in Thane West,Haware Citi, 1 RK ,1 Bath,Ready To Move,2019-05-12
6400000,775,8259,"Super built-up  Area
                    ",in Mira Road East,SKD Pinnacolo,1 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
13500000,1550,8710,"Super built-up  Area
                    ",in Sector-35D Kharghar,Vishwa Hans,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
6600000,700,9429,"Super built-up  Area
                    ",in Kasar vadavali,Puranik City Phase 3,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
10900000,1350,8074,"Super built-up  Area
                    ",in Sector 7 Kharghar,Tharwani Heritage,2 BHK ,"2 Baths, 2 Balconies",Ready To Move,2019-05-12
12100000,686,17638,"Super built-up  Area
                    ",in Sector-16 Sanpada,,2 BHK ,2 Baths,Ready To Move,2019-05-12
3500000,615,5691,"Super built-up  Area
                    ",in Kalyan (West),Raunak City Sector 2,1 BHK ,"1 Bath, 2 Balconies",Ready To Move,2019-05-12
67500000,3630,18596,"Super built-up  Area
                    ",in Chembur,,6 BHK ,6 Baths,Ready To Move,2019-05-12
14600000,970,15000,"Super built-up  Area
                    ",in Chembur (East),Safal Sai,2 BHK ,2 Baths,Possession in Dec  2022,2019-05-12
20000000,1077,18570,"Super built-up  Area
                    ",in Thane West,Kalpataru Tarangan 2,2 BHK ,2 Baths,Ready To Move,2019-05-12
9454000,665,14217,"Carpet  Area
                    ",in Thane West,Kalpataru Launch Code Expansia,2 BHK ,2 Baths,Possession in Dec  2026,2019-05-12
7800000,975,8000,"Super built-up  Area
                    ",in Bevarly Park,RMP Vandana Heights,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
7455000,1050,7100,"Super built-up  Area
                    ",in Sector-8 Ulwe,Shiv Ornate,2 BHK ,2 Baths,Possession in Dec  2020,2019-05-12
16500000,1617,10217,"Super built-up  Area
                    ",in Sector 34C Kharghar,Siddharth Geetanjali Sujay,3 BHK ,"3 Baths, 3+ Balconies",Ready To Move,2019-05-12
5300000,630,8413,"Super built-up  Area
                    ",in Kasar vadavali,Abrol Krishna Greenland Park,1 BHK ,"2 Baths, 1 Balcony",Ready To Move,2019-05-12
9661000,665,14528,"Carpet  Area
                    ",in Thane West,Kalpataru Launch Code Expansia,2 BHK ,2 Baths,Possession in Dec  2026,2019-05-12
10500000,850,12353,"Super built-up  Area
                    ",in Goregaon (East),,2 BHK ,2 Baths,Ready To Move,2019-05-12
9700000,1300,7462,"Super built-up  Area
                    ",in Sector 17 Ulwe,Today Imperia,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
8500000,1090,7798,"Super built-up  Area
                    ",in Panvel,Moraj Riverside Park,2 BHK ,"2 Baths, 3+ Balconies",Ready To Move,2019-05-12
9500000,1100,8636,"Built-up  Area
                    ",in Sector 17 Ulwe,,2 BHK ,"2 Baths, 3 Balconies",Ready To Move,2019-05-12
