restaurant,items,price,date
Vinisha Food Corner,Veg. Hot & Sour Soup,120.0,2019-04-17
New Lom Chings,Veg. Hot & Sour Soup,120.0,2019-04-17
New Lom Chings,Veg. Noodle Soup,130.0,2019-04-17
Thali & Combos By Treat,Peanut Poha,95.0,2019-04-17
Thali & Combos By Treat,Green Peas Poha,80.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Chicken Maharaja Mac McSaver,262.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Veg Maharaja Mac McSaver,253.0,2019-04-17
McDonald's (Fun Republic),Filet-O-Fish McSaver,208.0,2019-04-17
McDonald's (Fun Republic),American Cheese Supreme - Chicken McSaver,208.0,2019-04-17
The Spot,Spicy Schezwan Cheese Burger,50.0,2019-04-17
The Spot,Tandoori Paneer Burger,70.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Shahi Gosht Dastarkhwan (Non Veg),514.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Kathail Biryani (Regular),285.0,2019-04-17
The Light Kitchen,Simple Egg of Choice with Toast,115.0,2019-04-17
The Light Kitchen,Multigrain Burrito Wrap,210.0,2019-04-17
Bhagwati Veg Restaurant,Pav Bhaji,110.0,2019-04-17
The Bohri Fusion,Palak Shorba,159.0,2019-04-17
Vinisha Food Corner,Veg. Manchow Soup,120.0,2019-04-17
Vinisha Food Corner,Veg. Noodle Soup,120.0,2019-04-17
New Lom Chings,Veg. Mushroom Soup,130.0,2019-04-17
New Lom Chings,Veg. Wonton Hunan Soup,130.0,2019-04-17
Thali & Combos By Treat,Chura,60.0,2019-04-17
Thali & Combos By Treat,Peanut Chura,90.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Big Spicy Paneer Wrap McSaver,253.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),McSpicy Chicken McSaver,235.0,2019-04-17
McDonald's (Fun Republic),Salad Wrap McSaver,192.0,2019-04-17
McDonald's (Fun Republic),McChicken McSaver,193.0,2019-04-17
The Spot,Tandoori Paneer Cheese Burger,80.0,2019-04-17
The Spot,Malai Paneer Burger,70.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),SWIG Jeera Masala,38.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),SWIG Green apple,38.0,2019-04-17
The Light Kitchen,Bruschetta,125.0,2019-04-17
The Light Kitchen,Grilled Veggie Skewers,160.0,2019-04-17
Bhagwati Veg Restaurant,Dal Khichdi,150.0,2019-04-17
The Bohri Fusion,Tomato Pudina Shorba,159.0,2019-04-17
The Bohri Fusion,Murgh Yakhni Shorba,179.0,2019-04-17
Vinisha Food Corner,Veg. Sweet Corn Soup,120.0,2019-04-17
Vinisha Food Corner,Non-Veg. Clear Soup,130.0,2019-04-17
Mandarin Panda,Crispy Chicken,289.0,2019-04-17
New Lom Chings,Veg. Broccoli Soup,130.0,2019-04-17
New Lom Chings,Veg. Wonton Hot Sour Soup,130.0,2019-04-17
Behrouz Biryani (Powai),Murgh Qeema Kefta Biryani,240.0,2019-04-17
Thali & Combos By Treat,Mixed Pakoda,60.0,2019-04-17
Thali & Combos By Treat,Paneer Pakoda,120.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),McSpicy Paneer McSaver,230.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Filet-O-Fish McSaver,208.0,2019-04-17
McDonald's (Fun Republic),American Cheese Supreme Veg,193.0,2019-04-17
McDonald's (Fun Republic),McVeggie McSaver,180.0,2019-04-17
The Spot,Malai Paneer Cheese Burger,80.0,2019-04-17
The Spot,Cheesy Paneer Burger,70.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Chocolate Ecstasy,85.0,2019-04-17
The Light Kitchen,Spanish Crocs,175.0,2019-04-17
Bhagwati Veg Restaurant,Tawa Pulao,155.0,2019-04-17
The Bohri Fusion,Murgh Dhanyali Shorba,179.0,2019-04-17
Vinisha Food Corner,Non-Veg. Hot & Sour Soup,130.0,2019-04-17
Mandarin Panda,Chicken Lollipop,289.0,2019-04-17
New Lom Chings,Veg. Thopa Soup,130.0,2019-04-17
New Lom Chings,Veg.Lom Ching's Special Soup,130.0,2019-04-17
Behrouz Biryani (Powai),Subz-E-Biryani,200.0,2019-04-17
Behrouz Biryani (Powai),Murgh Kefta Mini,95.0,2019-04-17
Thali & Combos By Treat,Cheese Pakoda,135.0,2019-04-17
Thali & Combos By Treat,Upma,50.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),American Cheese Supreme - Chicken McSaver,208.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),Salad Wrap McSaver,192.0,2019-04-17
McDonald's (Fun Republic),Chicken Kebab Wrap McSaver,149.0,2019-04-17
McDonald's (Fun Republic),Chicken Kebab Burger McSaver,159.0,2019-04-17
The Spot,Cheesy Paneer Cheese Burger,80.0,2019-04-17
The Spot,Spicy Paneer Burger,70.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Ayran (Buttermilk),28.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Gulkand-E-Bahar,47.0,2019-04-17
The Light Kitchen,Grilled Chicken in choice of Sauce,270.0,2019-04-17
The Light Kitchen,Roasted Chicken Legs,295.0,2019-04-17
Bhagwati Veg Restaurant,Paneer Butter Masala,190.0,2019-04-17
Sai Punjab,Butter Chicken,220.0,2019-04-17
The Bohri Fusion,Veg. Kathi Roll,179.0,2019-04-17
The Bohri Fusion,Tandoori Mushroom Roll,189.0,2019-04-17
Subway (Powai),Aloo Patty,200.0,2019-04-17
Vinisha Food Corner,Non-Veg. Manchow Soup,130.0,2019-04-17
Vinisha Food Corner,Non-Veg. Noodle Soup,130.0,2019-04-17
Mandarin Panda,Chicken Pot Rice,339.0,2019-04-17
Mandarin Panda,Veg. Hakka Noodles,229.0,2019-04-17
New Lom Chings,Veg. Wonton Noodle Soup,130.0,2019-04-17
New Lom Chings,Veg. Tom Yom Soup,150.0,2019-04-17
Behrouz Biryani (Powai),Lazeez Bhuna Biryani,260.0,2019-04-17
Behrouz Biryani (Powai),Dum Gosht Biryani (Boneless),409.0,2019-04-17
Thali & Combos By Treat,Sheera,55.0,2019-04-17
Thali & Combos By Treat,Batata Vada,50.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),McChicken McSaver,193.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),American Cheese Supreme Veg,193.0,2019-04-17
McDonald's (Fun Republic),Green Chilli Kebab Naan,146.0,2019-04-17
McDonald's (Fun Republic),Mexican Aloo Wrap McSaver,139.0,2019-04-17
The Spot,Spicy Paneer Cheese Burger,80.0,2019-04-17
The Spot,Black Paneer Burger,90.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Mint Raita,28.0,2019-04-17
Behrouz Biryani (Chadivali - Narayan Plaza),Gulab Jamun,57.0,2019-04-17
The Light Kitchen,Grilled Chicken Skewers,240.0,2019-04-17
The Light Kitchen,Avocado Roll,295.0,2019-04-17
Flavours of China ( Evershine Nagar),Veg. Clear Soup,99.0,2019-04-17
Bhagwati Veg Restaurant,Vegetable Kolhapuri,165.0,2019-04-17
Bhagwati Veg Restaurant,Vegetable Biryani,155.0,2019-04-17
Sai Punjab,Chicken Biryani,180.0,2019-04-17
Sai Punjab,Dal Khichdi,120.0,2019-04-17
The Bohri Fusion,Baked Vegetable Roll,189.0,2019-04-17
The Bohri Fusion,Paneer Tikka Kathi Roll,199.0,2019-04-17
Subway (Powai),Chatpata Chana Patty,200.0,2019-04-17
Subway (Powai),Corn & Peas,200.0,2019-04-17
Vinisha Food Corner,Non-Veg. Sweet Corn Soup,130.0,2019-04-17
Vinisha Food Corner,Veg. Pakoda,160.0,2019-04-17
Mandarin Panda,Chicken Schezwan Rice,269.0,2019-04-17
Mandarin Panda,Chicken Fried Rice,269.0,2019-04-17
New Lom Chings,Veg. Lime Coriander Soup,130.0,2019-04-17
New Lom Chings,Veg. Spicy Onion Soup,130.0,2019-04-17
Behrouz Biryani (Powai),Subz-e-Biryani (Regular),261.0,2019-04-17
Behrouz Biryani (Powai),Murgh Makhani Biryani (Regular),352.0,2019-04-17
Thali & Combos By Treat,Vada Pav,55.0,2019-04-17
Thali & Combos By Treat,Samosa,55.0,2019-04-17
McDonald's (Shivai Andheri Saki Naka),McVeggie McSaver,180.0,2019-04-17
McDonald's (Fun Republic),Green Chilli Aloo Naan,132.0,2019-04-17
The Spot,Black Paneer Cheese Burger,100.0,2019-04-17
The Spot,Chicken Burger,70.0,2019-04-17
The Light Kitchen,Amritsari Chhole Wrap,160.0,2019-04-17
The Light Kitchen,Mushroom and Spinach Wrap,150.0,2019-04-17
Flavours of China ( Evershine Nagar),Veg. Flavours Special Soup,116.0,2019-04-17
Flavours of China ( Evershine Nagar),Veg. Jade Soup,110.0,2019-04-17
